z, N
-9.95,   248767.0000000000
-9.85,   254041.0000000000
-9.75,   257854.0000000000
-9.65,   264440.0000000000
-9.55,   269342.0000000000
-9.45,   273733.0000000000
-9.35,   280391.0000000000
-9.25,   284702.0000000000
-9.15,   290122.0000000000
-9.05,   295265.0000000000
-8.95,   300244.0000000000
-8.85,   305971.0000000000
-8.75,   311020.0000000000
-8.65,   316271.0000000000
-8.55,   322166.0000000000
-8.45,   328309.0000000000
-8.35,   333741.0000000000
-8.25,   338241.0000000000
-8.15,   344763.0000000000
-8.05,   350980.0000000000
-7.95,   355727.0000000000
-7.85,   360751.0000000000
-7.75,   366584.0000000000
-7.65,   372557.0000000000
-7.55,   378806.0000000000
-7.45,   384632.0000000000
-7.35,   390006.0000000000
-7.25,   395808.0000000000
-7.15,   400649.0000000000
-7.05,   407086.0000000000
-6.95,   412943.0000000000
-6.85,   419978.0000000000
-6.75,   424517.0000000000
-6.65,   429556.0000000000
-6.55,   436278.0000000000
-6.45,   441202.0000000000
-6.35,   446493.0000000000
-6.25,   453322.0000000000
-6.15,   458116.0000000000
-6.05,   464612.0000000000
-5.95,   470355.0000000000
-5.85,   475761.0000000000
-5.75,   482085.0000000000
-5.65,   486607.0000000000
-5.55,   492395.0000000000
-5.45,   496605.0000000000
-5.35,   503717.0000000000
-5.25,   507583.0000000000
-5.15,   513566.0000000000
-5.05,   519177.0000000000
-4.95,   522947.0000000000
-4.85,   528681.0000000000
-4.75,   535838.0000000000
-4.65,   538200.0000000000
-4.55,   544765.0000000000
-4.45,   548863.0000000000
-4.35,   553818.0000000000
-4.25,   558650.0000000000
-4.15,   563200.0000000000
-4.05,   567731.0000000000
-3.95,   572560.0000000000
-3.85,   577465.0000000000
-3.75,   581060.0000000000
-3.65,   586760.0000000000
-3.55,   590553.0000000000
-3.45,   594929.0000000000
-3.35,   597527.0000000000
-3.25,   604000.0000000000
-3.15,   606853.0000000000
-3.05,   609109.0000000000
-2.95,   614383.0000000000
-2.85,   617531.0000000000
-2.75,   620353.0000000000
-2.65,   623571.0000000000
-2.55,   627779.0000000000
-2.45,   631584.0000000000
-2.35,   633615.0000000000
-2.25,   637037.0000000000
-2.15,   639992.0000000000
-2.05,   641192.0000000000
-1.95,   644038.0000000000
-1.85,   647068.0000000000
-1.75,   650311.0000000000
-1.65,   651517.0000000000
-1.55,   652290.0000000000
-1.45,   654787.0000000000
-1.35,   657059.0000000000
-1.25,   661093.0000000000
-1.15,   661484.0000000000
-1.05,   661704.0000000000
-0.95,   663396.0000000000
-0.85,   666583.0000000000
-0.75,   664095.0000000000
-0.65,   668000.0000000000
-0.55,   667975.0000000000
-0.45,   667541.0000000000
-0.35,   667871.0000000000
-0.25,   668302.0000000000
-0.15,   668960.0000000000
-0.05,   670321.0000000000
 0.05,   668528.0000000000
 0.15,   669502.0000000000
 0.25,   668774.0000000000
 0.35,   669583.0000000000
 0.45,   667940.0000000000
 0.55,   667783.0000000000
 0.65,   666744.0000000000
 0.75,   665793.0000000000
 0.85,   665047.0000000000
 0.95,   663403.0000000000
 1.05,   662189.0000000000
 1.15,   661693.0000000000
 1.25,   659085.0000000000
 1.35,   657951.0000000000
 1.45,   656244.0000000000
 1.55,   652639.0000000000
 1.65,   651281.0000000000
 1.75,   649317.0000000000
 1.85,   646710.0000000000
 1.95,   645838.0000000000
 2.05,   642875.0000000000
 2.15,   638271.0000000000
 2.25,   636740.0000000000
 2.35,   634352.0000000000
 2.45,   629883.0000000000
 2.55,   627288.0000000000
 2.65,   624025.0000000000
 2.75,   620859.0000000000
 2.85,   616722.0000000000
 2.95,   614062.0000000000
 3.05,   610462.0000000000
 3.15,   605872.0000000000
 3.25,   601978.0000000000
 3.35,   598429.0000000000
 3.45,   594967.0000000000
 3.55,   589207.0000000000
 3.65,   586127.0000000000
 3.75,   581611.0000000000
 3.85,   576963.0000000000
 3.95,   572761.0000000000
 4.05,   568228.0000000000
 4.15,   562245.0000000000
 4.25,   559083.0000000000
 4.35,   553915.0000000000
 4.45,   550173.0000000000
 4.55,   544611.0000000000
 4.65,   539657.0000000000
 4.75,   535114.0000000000
 4.85,   529294.0000000000
 4.95,   523388.0000000000
 5.05,   519332.0000000000
 5.15,   514254.0000000000
 5.25,   508291.0000000000
 5.35,   502309.0000000000
 5.45,   497439.0000000000
 5.55,   491707.0000000000
 5.65,   486862.0000000000
 5.75,   480869.0000000000
 5.85,   476006.0000000000
 5.95,   469429.0000000000
 6.05,   464304.0000000000
 6.15,   458657.0000000000
 6.25,   451714.0000000000
 6.35,   447058.0000000000
 6.45,   441554.0000000000
 6.55,   436518.0000000000
 6.65,   429933.0000000000
 6.75,   423740.0000000000
 6.85,   417474.0000000000
 6.95,   412555.0000000000
 7.05,   406994.0000000000
 7.15,   400911.0000000000
 7.25,   395682.0000000000
 7.35,   390362.0000000000
 7.45,   383992.0000000000
 7.55,   379492.0000000000
 7.65,   372916.0000000000
 7.75,   368155.0000000000
 7.85,   360922.0000000000
 7.95,   356075.0000000000
 8.05,   349655.0000000000
 8.15,   344203.0000000000
 8.25,   339164.0000000000
 8.35,   332834.0000000000
 8.45,   328302.0000000000
 8.55,   322437.0000000000
 8.65,   316869.0000000000
 8.75,   311454.0000000000
 8.85,   306019.0000000000
 8.95,   299985.0000000000
 9.05,   294989.0000000000
 9.15,   289050.0000000000
 9.25,   285132.0000000000
 9.35,   278535.0000000000
 9.45,   274106.0000000000
 9.55,   269343.0000000000
 9.65,   263463.0000000000
 9.75,   258024.0000000000
 9.85,   253917.0000000000
 9.95,   249029.0000000000
